Rank, Position in Batch, SGPA, Credits
1, 1, 220489C, 4.000, 14
2, 2, 220052G, 3.950, 18
3, 3, 220414U, 3.936, 14
3, 3, 220090U, 3.936, 14
4, 5, 220322K, 3.925, 12
5, 6, 220152M, 3.925, 20
5, 6, 220358B, 3.925, 20
6, 8, 220135N, 3.893, 14
7, 9, 220668B, 3.885, 20
8, 10, 220402G, 3.850, 18
8, 10, 220102L, 3.850, 18
9, 12, 220361D, 3.836, 14
10, 13, 220083C, 3.833, 18
11, 14, 220315R, 3.825, 20
12, 15, 220323N, 3.820, 20
12, 15, 220469P, 3.820, 20
13, 17, 220191F, 3.806, 18
14, 18, 220254D, 3.805, 20
15, 19, 220629H, 3.800, 12
15, 19, 220727G, 3.800, 12
16, 21, 220407C, 3.795, 20
17, 22, 220699U, 3.786, 14
17, 22, 220122X, 3.786, 14
18, 24, 220404N, 3.772, 18
19, 25, 220262B, 3.760, 20
19, 25, 220385E, 3.760, 20
20, 27, 220267U, 3.760, 20
21, 28, 220186U, 3.750, 18
21, 28, 220690J, 3.750, 20
22, 30, 220628E, 3.743, 14
23, 31, 220309D, 3.730, 20
24, 32, 220144P, 3.722, 18
25, 33, 220282K, 3.721, 14
26, 34, 220314M, 3.707, 14
26, 34, 220008E, 3.707, 14
27, 36, 220028N, 3.706, 18
28, 37, 220234R, 3.705, 20
29, 38, 220716X, 3.700, 14
29, 38, 220339T, 3.700, 14
29, 38, 220627B, 3.700, 14
29, 38, 220618A, 3.700, 14
30, 42, 220520P, 3.690, 20
30, 42, 220153R, 3.690, 20
31, 44, 220192J, 3.686, 14
32, 45, 220278E, 3.685, 20
33, 46, 220612B, 3.683, 18
34, 47, 220087R, 3.675, 20
35, 48, 220165F, 3.670, 20
35, 48, 220731M, 3.670, 20
35, 48, 220460F, 3.670, 20
36, 51, 220023U, 3.667, 18
37, 52, 220138C, 3.665, 20
38, 53, 220623J, 3.657, 14
39, 54, 220392X, 3.650, 14
40, 55, 220011G, 3.645, 20
41, 56, 220105A, 3.643, 14
42, 57, 220599M, 3.630, 20
43, 58, 220411H, 3.629, 14
44, 59, 220168R, 3.625, 20
44, 59, 220503R, 3.625, 20
44, 59, 220440U, 3.625, 12
44, 59, 220007B, 3.625, 20
45, 63, 220038U, 3.622, 18
45, 63, 220073V, 3.622, 18
46, 65, 220123C, 3.614, 14
47, 66, 220271C, 3.610, 20
48, 67, 220352C, 3.606, 18
49, 68, 220548H, 3.605, 20
50, 69, 220049E, 3.600, 14
50, 69, 220366X, 3.600, 14
50, 69, 220201N, 3.600, 14
51, 72, 220522A, 3.593, 14
51, 72, 220231F, 3.593, 14
52, 74, 220316V, 3.586, 14
53, 75, 220178X, 3.585, 20
53, 75, 220416D, 3.585, 20
54, 77, 220526N, 3.570, 20
55, 78, 220370E, 3.564, 14
55, 78, 220099F, 3.564, 14
56, 80, 220554X, 3.557, 14
56, 80, 220671D, 3.557, 14
57, 82, 220261V, 3.536, 14
57, 82, 220672G, 3.536, 14
58, 84, 220311C, 3.533, 18
59, 85, 220720E, 3.529, 14
60, 86, 220573E, 3.525, 12
60, 86, 220098C, 3.525, 12
61, 88, 220630D, 3.522, 18
62, 89, 220091A, 3.521, 14
63, 90, 220277B, 3.520, 20
63, 90, 220538D, 3.520, 20
64, 92, 220384B, 3.517, 12
65, 93, 220555C, 3.514, 14
65, 93, 220182E, 3.514, 14
66, 95, 220095N, 3.514, 14
67, 96, 220549L, 3.508, 12
68, 97, 220532E, 3.500, 14
68, 97, 220080N, 3.500, 14
69, 99, 220338N, 3.495, 20
70, 100, 220444K, 3.493, 14
70, 100, 220185P, 3.493, 14
71, 102, 220222E, 3.489, 18
72, 103, 220104U, 3.486, 14
73, 104, 220233M, 3.485, 20
74, 105, 220172A, 3.479, 14
75, 106, 220497A, 3.478, 18
76, 107, 220166J, 3.471, 14
76, 107, 220724U, 3.471, 14
77, 109, 220534L, 3.457, 14
78, 110, 220263E, 3.450, 20
78, 110, 220131A, 3.450, 20
79, 112, 220199L, 3.450, 14
79, 112, 220525K, 3.450, 14
79, 112, 220462M, 3.450, 14
79, 112, 220670A, 3.450, 14
80, 116, 220236B, 3.443, 14
81, 117, 220081T, 3.440, 20
82, 118, 220297K, 3.429, 14
82, 118, 220625R, 3.429, 14
83, 120, 220001C, 3.420, 20
84, 121, 220508L, 3.417, 12
85, 122, 220218X, 3.414, 14
85, 122, 220248M, 3.414, 14
86, 124, 220507H, 3.408, 12
87, 125, 220126M, 3.407, 14
88, 126, 220419N, 3.400, 12
89, 127, 220589H, 3.393, 14
89, 127, 220132D, 3.393, 14
89, 127, 220157H, 3.393, 14
90, 130, 220211U, 3.383, 12
91, 131, 220673K, 3.379, 14
92, 132, 220220V, 3.371, 14
93, 133, 220391T, 3.367, 12
94, 134, 220486N, 3.364, 14
95, 135, 220382R, 3.343, 14
95, 135, 220436M, 3.343, 14
95, 135, 220614H, 3.343, 14
96, 138, 220014T, 3.335, 20
97, 139, 220553T, 3.329, 14
98, 140, 220651R, 3.321, 14
99, 141, 220079U, 3.292, 12
100, 142, 220669E, 3.279, 14
101, 143, 220030M, 3.267, 18
102, 144, 220457D, 3.258, 12
102, 144, 220689N, 3.258, 12
103, 146, 220187A, 3.257, 14
103, 146, 220022P, 3.257, 14
104, 148, 220515F, 3.250, 12
104, 148, 220442D, 3.250, 14
105, 150, 220604D, 3.243, 14
106, 151, 220292P, 3.233, 12
107, 152, 220717C, 3.217, 12
108, 153, 220056X, 3.208, 12
109, 154, 220734B, 3.200, 14
110, 155, 220621C, 3.183, 12
111, 156, 220313J, 3.179, 14
111, 156, 220301V, 3.179, 14
112, 158, 220240G, 3.171, 14
113, 159, 220075E, 3.170, 20
114, 160, 220552N, 3.167, 12
115, 161, 220606K, 3.165, 20
116, 162, 220044J, 3.164, 14
117, 163, 220620X, 3.157, 14
118, 164, 220676X, 3.150, 20
118, 164, 220738P, 3.150, 12
119, 166, 220110J, 3.144, 18
120, 167, 220303E, 3.136, 14
121, 168, 220230C, 3.100, 20
121, 168, 220213D, 3.100, 14
122, 170, 220155B, 3.064, 14
123, 171, 220666R, 3.042, 12
124, 172, 220295D, 3.000, 14
125, 173, 220708B, 2.992, 12
126, 174, 220369J, 2.957, 14
127, 175, 220568T, 2.950, 14
128, 176, 220039A, 2.944, 18
129, 177, 220667V, 2.915, 20
129, 177, 220697L, 2.915, 20
130, 179, 220094K, 2.892, 12
131, 180, 220330H, 2.879, 14
132, 181, 220264H, 2.850, 14
133, 182, 220602U, 2.839, 18
134, 183, 220037P, 2.833, 12
135, 184, 220585R, 2.793, 14
136, 185, 220085J, 2.783, 12
137, 186, 220318E, 2.764, 14
138, 187, 220154V, 2.750, 14
139, 188, 220024A, 2.733, 18
140, 189, 220356R, 2.693, 14
141, 190, 220523D, 2.650, 14
142, 191, 220107G, 2.643, 14
143, 192, 220578A, 2.620, 20
144, 193, 220488X, 2.608, 12
145, 194, 220117L, 2.600, 14
146, 195, 220694B, 2.579, 14
147, 196, 220659A, 2.564, 14
148, 197, 220224L, 2.493, 14
149, 198, 220133G, 2.283, 18
150, 199, 220063P, 2.150, 12
151, 200, 220681H, 1.908, 12
